"RATE","AGE","ED","EX0","LF","M","N","NW","U1","U2","W","X","EDUC","DEP"
"79,1",151,91,58,510,950,33,301,108,41,394,261,"Low level","Interm expenditure"
"163,5",143,113,103,583,1012,13,102,96,36,557,194,"Interm level","Interm expenditure"
"57,8",142,89,45,533,969,18,219,94,33,318,250,"Low level","Low expenditure"
"196,9",136,121,149,577,994,157,80,102,39,673,167,"High level","High expenditure"
"123,4",141,121,109,591,985,18,30,91,20,578,174,"High level","Interm expenditure"
"68,2",121,110,118,547,964,25,44,84,29,689,126,"Interm level","High expenditure"
"96,3",127,111,82,519,982,4,139,97,38,620,168,"Interm level","Interm expenditure"
"155,5",131,109,115,542,969,50,179,79,35,472,206,"Interm level","High expenditure"
"85,6",157,90,65,553,955,39,286,81,28,421,239,"Low level","Interm expenditure"
"70,5",140,118,71,632,1029,7,15,100,24,526,174,"High level","Interm expenditure"
"167,4",124,105,121,580,966,101,106,77,35,657,170,"Interm level","High expenditure"
"84,9",134,108,75,595,972,47,59,83,31,580,172,"Interm level","Interm expenditure"
"51,1",128,113,67,624,972,28,10,77,25,507,206,"Interm level","Interm expenditure"
"66,4",135,117,62,595,986,22,46,77,27,529,190,"High level","Interm expenditure"
"79,8",152,87,57,530,986,30,72,92,43,405,264,"Low level","Interm expenditure"
"94,6",142,88,81,497,956,33,321,116,47,427,247,"Low level","Interm expenditure"
"53,9",143,110,66,537,977,10,6,114,35,487,166,"Interm level","Interm expenditure"
"92,9",135,104,123,537,978,31,170,89,34,631,165,"Interm level","High expenditure"
"75",130,116,128,536,934,51,24,78,34,627,135,"Interm level","High expenditure"
"122,5",125,108,113,567,985,78,94,130,58,626,166,"Interm level","Interm expenditure"
"74,2",126,108,74,602,984,34,12,102,33,557,195,"Interm level","Interm expenditure"
"43,9",157,89,47,512,962,22,423,97,34,288,276,"Low level","Low expenditure"
"121,6",132,96,87,564,953,43,92,83,32,513,227,"Interm level","Interm expenditure"
"96,8",131,116,78,574,1038,7,36,142,42,540,176,"Interm level","Interm expenditure"
"52,3",130,116,63,641,984,14,26,70,21,486,196,"Interm level","Interm expenditure"
"199,3",131,121,160,631,1071,3,77,102,41,674,152,"High level","High expenditure"
"34,2",135,109,69,540,965,6,4,80,22,564,139,"Interm level","Interm expenditure"
"121,6",152,112,82,571,1018,10,79,103,28,537,215,"Interm level","Interm expenditure"
"104,3",119,107,166,521,938,168,89,92,36,637,154,"Interm level","High expenditure"
"69,6",166,89,58,521,973,46,254,72,26,396,237,"Low level","Interm expenditure"
"37,3",140,93,55,535,1045,6,20,135,40,453,200,"Low level","Low expenditure"
"75,4",125,109,90,586,964,97,82,105,43,617,163,"Interm level","Interm expenditure"
"107,2",147,104,63,560,972,23,95,76,24,462,233,"Interm level","Interm expenditure"
"92,3",126,118,97,542,990,18,21,102,35,589,166,"High level","Interm expenditure"
"65,3",123,102,97,526,948,113,76,124,50,572,158,"Interm level","Interm expenditure"
"127,2",150,100,109,531,964,9,24,87,38,559,153,"Interm level","Interm expenditure"
"83,1",177,87,58,638,974,24,349,76,28,382,254,"Low level","Interm expenditure"
"56,6",133,104,51,599,1024,7,40,99,27,425,225,"Interm level","Low expenditure"
"82,6",149,88,61,515,953,36,165,86,35,395,251,"Low level","Interm expenditure"
"115,1",145,104,82,560,981,96,126,88,31,488,228,"Interm level","Interm expenditure"
"88",148,122,72,601,998,9,19,84,20,590,144,"High level","Interm expenditure"
"54,2",141,109,56,523,968,4,2,107,37,489,170,"Interm level","Interm expenditure"
"82,3",162,99,75,522,996,40,208,73,27,496,224,"Interm level","Interm expenditure"
"103",136,121,95,574,1012,29,36,111,37,622,162,"High level","Interm expenditure"
"45,5",139,88,46,480,968,19,49,135,53,457,249,"Low level","Low expenditure"
"50,8",126,104,106,599,989,40,24,78,25,593,171,"Interm level","Interm expenditure"
"84,9",130,121,90,623,1049,3,22,113,40,588,160,"High level","Interm expenditure"
